Question,Answer
What happens to Madeline due to her illness?,"She falls into cataleptic, deathlike trances."
What is the title of the song Roderick sang?,"""The Haunted Palace"""
"As the narrator helps Roderick put Madeline in the tomb, what did he notice?",She had rosy cheeks.
What is the condition defined by excessive worrying over illnesses?,Hypochondria.
What glowed in the dark and was seen on Roderick's paintings?,The tarn surrounding the house.
Why did the character Ethelred break into a hermit's dwelling?,To escape an impending storm.
Which creature guarded the palace of gold?,A dragon.
Who was behind the bedroom door?,Madeline.
How did Roderick react to the things happening in the house while the story was being told?,He was hysterical.
Whose house does the narrator arrive at?,Roderick Usher
What is wrong with Roderick Usher?,He has hyperesthesia and hypochondria
What is wrong with Roderick Usher's sister?,She falls into deathlike trances
What does the narrator do to cheer Roderick?,He listens to Roderick's guitar compositions and reads with him
What song does Roderick sing to the narrator?,The Haunted Palace
Where does Roderick insist his sister should be entombed for 2 weeks?,In the family tomb in the house
What does the narrator notice about Madeline's cheeks after death?,They are rosy
What does the narrator notice about the tarn of the house during a storm?,It glows in the dark without any lightning
What does the narrator read to try to calm Roderick?,The Mad Tryst
Who killed the dragon in The Mad Tryst?,Ethelred
Where does the story take place?,It takes place in New York City.
What war is Archie a veteran of?,Archie is a World War I veteran.
How does Archie initially anger Daniel Brewster?,He criticizes the service at a hotel owned by Brewster.
Where does Archie meet Brewster's daughter?,Archie meets Lucille in Miami.
What baseball team does Archie bet on?,He bets on the Giants. 
Who is the Sausage Chappie?,An old friend of Archie's from the war.
How does Archie upset Mrs. Cora Bates McCall?,Archie convinces her son to enter a pie eating contest.
What does Archie do to upset Lucille?,He pays too much attention to an actress. 
What is the name of the hotel Archie criticizes?,The Cosmopolis Hotel.
How does Archie finally win over his father in law?,Archie tells his father in law he is going to be a grandfather.
Who is Archibald Molfam's father-in-law?,Daniel Brewster
What does Daniel Brewster have an extensive collection of?,Art
In what city does this story take place?,New York Cty
What war is Archie a veteran of?,The First World War
"What initiates the feud between Archie and his father-in-law, Daniel Brewster?",Archie criticizes the Cosmopolis Hotel
"What is the first name of Brewster's daughter, Archie's wife?",Lucille
"In the story, what upsets Lucille about Archie?",How much attention he pays to an actress
What is the exact amount of money Archie bets on the Giants?,$1000
What kind of contest does Cora Bates McCall son enter at the recommendation of Archie?,A pie-eating contest
Who give Archie a hard time?,Daniel Brewster.
How is Daniel related to Archie?,Daniel is Archie's father-in-law.
Who is Lucille?,Archie's wife.
What war has Archie fought in?,WWI.
What does Archie criticize?,The hotel service.
Where is the hotel?,In New York.
Where did Archie meet Lucille?,In Miami.
What team did Archie bet on?,The Giants.
How much money did Archie bet?,$1000.
What finally makes Daniel happy?,Hearing he will be a grandfather.
Where is the jewish family hiding at the beginnging?,Hidden under the floor
Who is allowed to escape at the beginning?,Shosanna
What does Raine carve into Butz's forehead?,The letter T
Why do the Basterds recruit Hugo?,Hugo murdered 13 Gestapo soldiers
Who becomes infatuated with Shosanna?,Zoller
How does Hicox give himself away as not a German?,By signing the number 3 incorrectly
Whose shoe does Landa find in the tavern?,Hammersmark
Which three Basterds go to the premiere in disguise?,Donny Omar Raine
What does Shosanna plan to do during the premiere?,Burn everything down with the Nazi's inside
Who gets a swastika carved into their forehead?,Landa
What does the German officer promise Perrier LaPedite if he reveals where the Dreyfus family is hiding?,The German officer promises that the Germans will leave the LaPedite family alone for the rest of the war.
Why does Lt. Aldo Raine carve a T into Private Butz's forehead?,Lt Raine carves a T into Private Butz's forehead so that Private Butz can never hide that he voted for a fascist
Why does Frederick Zoller convince Goebbels to move the premier to Shoshanna's cinema?,Frederick Zoller is infatuated with Shoshanna.
Why is Shoshanna living under an assumed name in Paris?,Shoshanna's family was murdered by the Germans early in the war and she is the only survivor.
How does Lieutenant Hicox give himself away during the tavern meeting?,"Hicox uses a different gesture for 'three' than a German would have, and Major Hellstrom recognizes the error."
Why do the Basterds scalp the German soldiers they have killed?,The Basterds want to spread terror among the German army.
How does Col Landa known that Bridget von Hammersmark is working with the Allies?,He discovered her shoe in the ruins of the tavern where she met Lt. Hicox and the Basterds.
Why does Shoshanna splice in footage of herself into Stolz der Nation?,She wants the audience to know that there are going to be killed by a Jew who refused to be a victim.
Why do the Basterds pose as Italians for the premiere of Stolz der Nation?,The Basterds hope to remain undercover because most Germans do not speak Italian.
What does Marcel set on fire to burn down the theater?,Marcel sets on fire a pile of flammable nitrite film behind the movie screen.
What is Perrier La Padite's profession?,He is a dairy farmer.
Who is the only Dreyfus family member to escape death?,Shosanna.
Who are recruited for the Basterds?,Jewish-American soldiers.
How do the Basterds spread fear among the German soldiers?,The Basterds kill and scalp the German soldiers.
How do Shosanna and Marcel plan to kill Fredrick Zoller and the Nazi leaders attending the premier?,By setting the cinema on fire.
"How do German's gesture ""three""?",By extending the thumb and first two fingers.
"What do two of the Basterds, Donny and Omar, pose as at the premier?",Italians.
How does Fredrick Zollar die?,Shosanna shoots him.
Where is Bridget von Hammersmark killed?,In a private room at the cinema.
What is carved into Hans Landa's forehead?,A swastika.
Why was Anthony in the psychiatric unit?,self-described exhaustion 
Why was Anthony upset at Dignan after the practice heist? ,Dignan had taken earrings that Anthony had gifted to his mother and this was not a part of their plan. 
Who was the getaway driver for the bookstore heist?,Bob Mapplethorpe
What was in the envelope that Anthony had Dignan give to Inez?,stolen money 
Where was Dignan at the end of the story?,Prison
What is Mr. Henry's actual job?,landscaper
Who are Mr. Henry's accomplices for the heist at the factory?,Applejack and Kumar
Where did Dignan lock himself once the factory heist plan went downhill?,in the escape van 
Who robbed Bob's house?,Mr. Henry 
Why did Dignan and Anthony go their seperate ways after the Alfa Romeo Spider breaks down? ,Anthony tells Dignan that the envelope he gave Inez contained most of their cash. 
What is the first heist that Dignan and Anthony commit?,As a practice heist they break into Anthony's family's home.
What does Dignan take from Anthony's family's home that was not on the list of items to steal?,A pair of earrings that Anthony had bought for his mother.
What job does Dignan recruit Bob Mapplethorpe for?,He is recruited as the getaway driver.
What is the group's second robery?,A local bookstore.
Who does Anthony meet at the motel where they are staying while on the lam?,Inez one of the motel maids.
What language does Inez speak?,Spanish.
What is in the envelope that Anthony asks Dignan to give to Inez?,The envelope contains most of Dignan and Anthony's money.
